Date,AUM_9009,AUM_9046,AUM_9179,,,,
24/10/2024,14945880,15100460,7200000,,,,
25/10/2024,14534650,14685990,7020000,,,,
28/10/2024,14725220,14876990,7110000,,,,
30/10/2024,15632640,15791880,7470000,,,,
31/10/2024,15496940,15654360,7470000,,,,
01/11/2024,14649110,14800590,7020000,,,,
04/11/2024,14465620,14613410,6930000,,,,
05/11/2024,14255580,14403310,6840000,,,,
06/11/2024,15282180,15438530,7290000,,,,
07/11/2024,16510560,16676210,7920000,,,,
08/11/2024,17074600,17245390,8190000,,,,
11/11/2024,17074600,18593850,8820000,,,,
12/11/2024,19765590,22047390,9450000,,,,
13/11/2024,18461100,20595710,8820000,,,,
14/11/2024,18461100,20903770,9000000,,,,
15/11/2024,17947210,20021790,8640000,,,,
18/11/2024,18367880,20490210,8820000,,,,
19/11/2024,18315370,20431130,8820000,,,,
20/11/2024,18233360,20340400,8730000,,,,
21/11/2024,18357260,20477550,8820000,,,,
22/11/2024,19804530,22089590,9540000,,,,
25/11/2024,19875330,22167660,9540000,,,,
26/11/2024,19963830,22264720,9540000,,,,
27/11/2024,20091860,22408200,9630000,,,,
28/11/2024,20091860,23526500,10080000,,,,
29/11/2024,20814610,23210000,9990000,,,,
02/12/2024,21513170,26262390,10350000,,,,
03/12/2024,21203420,25883550,10170000,,,,
04/12/2024,21717900,26511870,10440000,,,,
05/12/2024,22614110,27606810,10890000,,,,
06/12/2024,22847750,27890940,10980000,,,,
09/12/2024,22883740,29748780,10980000,,,,
10/12/2024,21855370,28410540,10530000,,,,
11/12/2024,21486620,27930840,10350000,,,,
12/12/2024,22989350,29884080,11070000,,,,
13/12/2024,22781080,29613480,10890000,,,,
16/12/2024,23260160,30235860,11160000,,,,
17/12/2024,23493800,30538440,11250000,,,,
18/12/2024,22504960,29254320,10800000,,,,
19/12/2024,21592820,32062100,10350000,,,,
20/12/2024,19874150,34764930,9540000,,,,
23/12/2024,19244620,33666010,9270000,,,,
24/12/2024,19888310,34788100,9540000,,,,
27/12/2024,19635790,34347870,9450000,,,,
30/12/2024,19989200,34960220,9630000,,,,
31/12/2024,19611600,34304840,9450000,,,,
02/01/2025,19965600,34923810,9540000,,,,
03/01/2025,20101300,35158820,9630000,,,,
06/01/2025,21369800,37379830,10260000,,,,
07/01/2025,21481900,37578430,10350000,,,,
08/01/2025,19511300,34132720,9360000,,,,
09/01/2025,19310700,33775240,9270000,,,,
10/01/2025,18587700,32944320,9270000,,,,
13/01/2025,18069000,32024160,9000000,,,,
14/01/2025,17955000,31826520,8910000,,,,
15/01/2025,18285600,32409720,9090000,,,,
16/01/2025,19112100,33877440,9090000,,,,
17/01/2025,19040000,33750000,9440000,,,,
20/01/2025,19160000,33960000,9530000,,,,
21/01/2025,18350000,32520000,9090000,,,,
22/01/2025,21900000,33030000,9270000,,,,
23/01/2025,21350000,32190000,9000000,,,,
24/01/2025,22490000,33900000,9530000,,,,
27/01/2025,20350000,30690000,8640000,,,,
28/01/2025,21250000,32050000,9000000,,,,
03/02/2025,17070000,25740000,7200000,,,,
04/02/2025,18010000,27160000,7650000,,,,
05/02/2025,18280000,30960000,8170000,,,,
06/02/2025,18840000,31920000,8450000,,,,
07/02/2025,18000000,30490000,8070000,,,,
10/02/2025,17490000,29630000,7790000,,,,
11/02/2025,18020000,30530000,8070000,,,,
12/02/2025,17330000,28310000,7690000,,,,
13/02/2025,17790000,29060000,7980000,,,,
14/02/2025,17920000,29270000,7980000,,,,
17/02/2025,17800000,29080000,7980000,,,,
18/02/2025,17700000,28910000,7880000,,,,
19/02/2025,17940000,29310000,7980000,,,,
20/02/2025,18090000,28460000,8070000,,,,
21/02/2025,18310000,28800000,8170000,,,,
24/02/2025,18060000,28420000,8070000,,,,
25/02/2025,15860000,24950000,7120000,,,,
26/02/2025,16490000,25950000,7410000,,,,
27/02/2025,15610000,23900000,6930000,,,,
28/02/2025,13980000,21410000,6270000,,,,
03/03/2025,15740000,24110000,7030000,,,,
04/03/2025,13780000,21100000,6170000,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
